Sintoma 1,Sintoma 2,Doença Associada
fadiga,batimento irregular,Infarto Agudo do Miocárdio
tontura,desmaio,Insuficiência Cardíaca
tontura,tosse persistente,Angina
falta de ar,enjoo,Doença Cerebrovascular
fraqueza,aperto no tórax,Doenças do Aparelho Circulatório
fraqueza,batimento irregular,Infarto Agudo do Miocárdio
visão embaçada,visão turva,Doença Cerebrovascular
tontura,irradiação para braço,Doenças Cardiovasculares
fraqueza,baixa energia,Acidente Vascular Cerebral
náusea,enjoo,Angina
cansaço,aperto no tórax,Arritmia Cardíaca
náusea,visão turva,Angina
confusão mental,batimento irregular,Angina
tosse,sudorese,Hipertensão Arterial
suor excessivo,baixa energia,Acidente Vascular Cerebral
confusão mental,enjoo,Insuficiência Cardíaca
palpitações,sudorese,Acidente Vascular Cerebral
inchaço nas pernas,fadiga intensa,Acidente Vascular Cerebral
fadiga,tosse persistente,Arritmia Cardíaca
confusão mental,baixa energia,Arritmia Cardíaca
cansaço,fadiga intensa,Hipertensão Arterial
palpitações,fadiga intensa,Angina
suor excessivo,sudorese,Doença Arterial Coronariana
suor excessivo,enjoo,Doenças do Aparelho Circulatório
tosse,enjoo,Doença Arterial Coronariana
visão embaçada,visão turva,Hipertensão Arterial
palpitações,perda de consciência,Doença Cerebrovascular
cansaço,desmaio,Insuficiência Cardíaca
tosse,baixa energia,Insuficiência Cardíaca
cansaço,aperto no tórax,Doença Cerebrovascular
suor excessivo,edema,Hipertensão Arterial
fadiga,fadiga intensa,Arritmia Cardíaca
pressão alta,perda de consciência,Doença Cerebrovascular
fadiga,dificuldade para respirar,Acidente Vascular Cerebral
dor no braço,tosse persistente,Doença Arterial Coronariana
palpitações,perda de consciência,Infarto Agudo do Miocárdio
tosse,edema,Doenças do Aparelho Circulatório
fraqueza,perda de consciência,Insuficiência Cardíaca
pressão alta,enjoo,Angina
fraqueza,dificuldade para respirar,Doenças Cardiovasculares
dor no peito,tosse persistente,Hipertensão Arterial
tosse,desmaio,Infarto Agudo do Miocárdio
dor no braço,aperto no tórax,Doença Arterial Coronariana
dor no peito,perda de consciência,Infarto Agudo do Miocárdio
tosse,fraqueza lateral,Infarto Agudo do Miocárdio
inchaço nas pernas,baixa energia,Acidente Vascular Cerebral
náusea,irradiação para braço,Doenças do Aparelho Circulatório
náusea,desmaio,Insuficiência Cardíaca
cansaço,edema,Doença Arterial Coronariana
visão embaçada,batimento irregular,Doença Arterial Coronariana
náusea,fraqueza lateral,Doenças do Aparelho Circulatório
dor no peito,enjoo,Acidente Vascular Cerebral
visão embaçada,tosse persistente,Acidente Vascular Cerebral
inchaço nas pernas,fadiga intensa,Doenças do Aparelho Circulatório
visão embaçada,tosse persistente,Doenças Cardiovasculares
confusão mental,enjoo,Acidente Vascular Cerebral
tosse,irradiação para braço,Arritmia Cardíaca
palpitações,enjoo,Hipertensão Arterial
cansaço,fadiga intensa,Angina
