"texto","risco"
"tive cansaço normal","baixo risco"
"estou com dor de cabeça leve","baixo risco"
"estou com visão embaçada","médio risco"
"desde ontem sinto confusão mental","alto risco"
"apresentei coriza com um pouco de garganta arranhando","baixo risco"
"apresentei perda de consciência, além de dor abdominal forte","alto risco"
"apresentei tontura frequente, além de fraqueza extrema","médio risco"
"hoje acordei com dificuldade para respirar","alto risco"
"desde ontem sinto suor frio e dor no peito","alto risco"
"hoje acordei com dificuldade para respirar acompanhado de fraqueza extrema","alto risco"
"tive dor aguda no peito que irradia e falta de ar","alto risco"
"hoje acordei com garganta arranhando","baixo risco"
"estou sentindo muita dor muscular após exercício","baixo risco"
"estou com garganta arranhando","baixo risco"
"tive leve tontura ao levantar rápido com um pouco de cansaço do dia a dia","baixo risco"
"estou com dor abdominal forte","médio risco"
"tive pressão no peito","alto risco"
"hoje acordei com confusão mental","alto risco"
"desde ontem sinto dor de cabeça leve acompanhado de leve incômodo nas costas","baixo risco"
"sinto pequena dor de estômago","baixo risco"
"estou sentindo muita coriza","baixo risco"
"hoje acordei com cansaço desproporcional e febre alta","médio risco"
"apresentei garganta arranhando","baixo risco"
"apresentei pequena dor de estômago","baixo risco"
"apresentei batimento acelerado ao levantar, além de dor muscular após exercício","médio risco"
"hoje acordei com tosse persistente, além de um pouco de enjoo","médio risco"
"desde ontem sinto dor no joelho e cansaço do dia a dia","baixo risco"
"estou sentindo muita náusea e vômito","médio risco"
"sinto fraqueza extrema","médio risco"
"tive cansaço do dia a dia, além de leve tontura ao levantar rápido","baixo risco"
"estou sentindo muita garganta arranhando e dor muscular após exercício","baixo risco"
"tive fraqueza extrema e batimento acelerado ao levantar","médio risco"
"tive falta de ar, além de batimento acelerado ao levantar","alto risco"
"estou com dificuldade para respirar","alto risco"
"sinto dor de cabeça leve, além de coriza","baixo risco"
"estou com visão embaçada","médio risco"
"hoje acordei com falta de ar, além de visão embaçada","alto risco"
"estou com leve tontura ao levantar rápido","baixo risco"
"desde ontem sinto coriza","baixo risco"
"desde ontem sinto confusão mental e tontura frequente","alto risco"
"estou sentindo muita febre alta, além de espirros","médio risco"
"estou sentindo muita confusão mental","alto risco"
"sinto coriza","baixo risco"
"tive cansaço desproporcional com um pouco de cansaço do dia a dia","médio risco"
"tive espirros","baixo risco"
"estou com suor frio e dor no peito","alto risco"
"tive dor no joelho","baixo risco"
"estou sentindo muita dor no dedo com um pouco de dor de cabeça leve","baixo risco"
"estou com febre alta","médio risco"
"apresentei pequena dor de estômago","baixo risco"
"sinto cansaço normal","baixo risco"
"sinto leve tontura ao levantar rápido","baixo risco"
"hoje acordei com perda de consciência","alto risco"
"desde ontem sinto náusea e vômito","médio risco"
"estou com leve incômodo nas costas acompanhado de dor muscular após exercício","baixo risco"
"sinto palpitação muito forte e fraqueza extrema","alto risco"
"desde ontem sinto desmaio e dormência no braço esquerdo","alto risco"
"desde ontem sinto visão embaçada, além de dor de cabeça leve","médio risco"
"sinto coriza e cansaço do dia a dia","baixo risco"
"hoje acordei com garganta arranhando","baixo risco"
"estou sentindo muita espirros com um pouco de dor muscular após exercício","baixo risco"
"tive desmaio e cansaço desproporcional","alto risco"
"estou sentindo muita perda de consciência com um pouco de perda de consciência","alto risco"
"apresentei dor aguda no peito que irradia e dormência no braço esquerdo","alto risco"
"tive tontura frequente com um pouco de dor de cabeça forte","médio risco"
"sinto dor de cabeça leve e cansaço normal","baixo risco"
"tive dor abdominal forte","médio risco"
"estou sentindo muita falta de ar","alto risco"
"hoje acordei com dor de cabeça forte acompanhado de fraqueza extrema","médio risco"
"hoje acordei com dor abdominal forte, além de dor muscular após exercício","médio risco"
"estou com leve incômodo nas costas, além de um pouco de enjoo","baixo risco"
"tive dor de cabeça forte, além de pequena dor de estômago","médio risco"
"tive febre alta, além de batimento acelerado ao levantar","médio risco"
"apresentei dor abdominal forte","médio risco"
"tive náusea e vômito acompanhado de tosse persistente","médio risco"
"desde ontem sinto dor de cabeça forte","médio risco"
"tive um pouco de enjoo e leve incômodo nas costas","baixo risco"
"estou sentindo muita náusea e vômito com um pouco de um pouco de enjoo","médio risco"
"estou com leve incômodo nas costas, além de leve tontura ao levantar rápido","baixo risco"
"tive dificuldade para respirar e dor abdominal forte","alto risco"
"apresentei dificuldade para respirar, além de perda de consciência","alto risco"
"sinto leve incômodo nas costas","baixo risco"
"desde ontem sinto dor aguda no peito que irradia","alto risco"
"hoje acordei com fraqueza extrema, além de leve incômodo nas costas","médio risco"
"apresentei dor no dedo","baixo risco"
"sinto um pouco de enjoo","baixo risco"
"desde ontem sinto batimento acelerado ao levantar com um pouco de leve incômodo nas costas","médio risco"
"estou sentindo muita garganta arranhando","baixo risco"
"tive leve tontura ao levantar rápido","baixo risco"
"desde ontem sinto dor no peito","alto risco"
"estou com cansaço desproporcional, além de dor no joelho","médio risco"
"tive tosse persistente","médio risco"
"estou sentindo muita dor de cabeça leve com um pouco de dor de cabeça leve","baixo risco"
"hoje acordei com pequena dor de estômago, além de dor no dedo","baixo risco"
"estou sentindo muita pequena dor de estômago","baixo risco"
"tive dificuldade para respirar acompanhado de desmaio","alto risco"
"hoje acordei com cansaço desproporcional","médio risco"
"estou sentindo muita cansaço do dia a dia","baixo risco"
"estou com dor intensa no coração, além de fraqueza extrema","alto risco"
"tive febre alta acompanhado de espirros","médio risco"
"estou com náusea e vômito com um pouco de tosse persistente","médio risco"
"apresentei dor no dedo","baixo risco"
"sinto dor de cabeça leve","baixo risco"
"estou com desmaio","alto risco"
"hoje acordei com espirros","baixo risco"
"estou sentindo muita desmaio","alto risco"
"hoje acordei com tosse persistente","médio risco"
"estou sentindo muita tosse persistente","médio risco"
"tive leve tontura ao levantar rápido acompanhado de coriza","baixo risco"
"apresentei dor muscular após exercício acompanhado de dor no joelho","baixo risco"
"sinto confusão mental","alto risco"
"hoje acordei com tontura frequente e cansaço do dia a dia","médio risco"
"tive tontura frequente, além de cansaço do dia a dia","médio risco"
"tive febre alta","médio risco"
"tive dormência no braço esquerdo acompanhado de batimento acelerado ao levantar","alto risco"
"desde ontem sinto um pouco de enjoo","baixo risco"
"tive falta de ar acompanhado de desmaio","alto risco"
"tive confusão mental com um pouco de dor no peito","alto risco"
"desde ontem sinto confusão mental, além de dor abdominal forte","alto risco"
"desde ontem sinto dormência no braço esquerdo","alto risco"
"estou com dormência no braço esquerdo, além de dificuldade para respirar","alto risco"
"tive leve incômodo nas costas e leve incômodo nas costas","baixo risco"
"tive náusea e vômito, além de garganta arranhando","médio risco"
"estou sentindo muita náusea e vômito e visão embaçada","médio risco"
"tive fraqueza extrema acompanhado de visão embaçada","médio risco"
"desde ontem sinto dor no dedo com um pouco de dor de cabeça leve","baixo risco"
"tive espirros e dor muscular após exercício","baixo risco"
"hoje acordei com garganta arranhando","baixo risco"
"estou sentindo muita cansaço do dia a dia, além de um pouco de enjoo","baixo risco"
"tive pressão no peito, além de dor abdominal forte","alto risco"
"desde ontem sinto suor frio e dor no peito","alto risco"
"estou com febre alta","médio risco"
"estou com dor no joelho","baixo risco"
"tive perda de consciência","alto risco"
"hoje acordei com dor no joelho","baixo risco"
"tive leve incômodo nas costas e leve tontura ao levantar rápido","baixo risco"
"desde ontem sinto coriza com um pouco de cansaço do dia a dia","baixo risco"
"desde ontem sinto dor abdominal forte com um pouco de fraqueza extrema","médio risco"
"hoje acordei com perda de consciência","alto risco"
"hoje acordei com tontura frequente acompanhado de pequena dor de estômago","médio risco"
"apresentei um pouco de enjoo","baixo risco"
"tive garganta arranhando, além de dor no dedo","baixo risco"
"hoje acordei com febre alta acompanhado de tosse persistente","médio risco"
"apresentei perda de consciência","alto risco"
"sinto dor muscular após exercício","baixo risco"
"sinto cansaço desproporcional","médio risco"
"estou sentindo muita pequena dor de estômago","baixo risco"
"sinto garganta arranhando","baixo risco"
"apresentei leve tontura ao levantar rápido e cansaço do dia a dia","baixo risco"
"tive cansaço do dia a dia","baixo risco"
"tive suor frio e dor no peito","alto risco"
"estou com cansaço desproporcional","médio risco"
"sinto leve incômodo nas costas com um pouco de dor no joelho","baixo risco"
"estou com dor no joelho","baixo risco"
"estou com dor aguda no peito que irradia","alto risco"
"hoje acordei com falta de ar e pressão no peito","alto risco"
"hoje acordei com náusea e vômito","médio risco"
"estou sentindo muita leve tontura ao levantar rápido e leve tontura ao levantar rápido","baixo risco"
"apresentei falta de ar acompanhado de dor de cabeça forte","alto risco"
"desde ontem sinto batimento acelerado ao levantar, além de febre alta","médio risco"
"apresentei dor no dedo","baixo risco"
"desde ontem sinto dor intensa no coração acompanhado de náusea e vômito","alto risco"
"desde ontem sinto febre alta","médio risco"
"estou sentindo muita dificuldade para respirar com um pouco de cansaço desproporcional","alto risco"
"sinto desmaio e dor intensa no coração","alto risco"
"apresentei dificuldade para respirar","alto risco"
"apresentei dificuldade para respirar","alto risco"
"desde ontem sinto espirros acompanhado de dor muscular após exercício","baixo risco"
"estou sentindo muita um pouco de enjoo","baixo risco"
"apresentei palpitação muito forte","alto risco"
"tive dor abdominal forte, além de garganta arranhando","médio risco"
"estou sentindo muita dor de cabeça forte e garganta arranhando","médio risco"
"tive dor de cabeça forte com um pouco de um pouco de enjoo","médio risco"
"estou com visão embaçada","médio risco"
"hoje acordei com dor no joelho","baixo risco"
"estou com dor abdominal forte e um pouco de enjoo","médio risco"
"estou com leve tontura ao levantar rápido","baixo risco"
"tive falta de ar acompanhado de falta de ar","alto risco"
"sinto desmaio","alto risco"
"tive dor abdominal forte acompanhado de leve incômodo nas costas","médio risco"
"estou sentindo muita pequena dor de estômago e coriza","baixo risco"
"tive cansaço normal","baixo risco"
"desde ontem sinto dor de cabeça forte","médio risco"
"estou com dor no peito, além de cansaço desproporcional","alto risco"
"sinto coriza","baixo risco"
"desde ontem sinto febre alta e dor no dedo","médio risco"
